index,Scope,Level 1,Activity,Type,Last level,UOM,GHG/Unit,GHG Conversion Factor,Size
318216,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Articulated (>33t),Average laden,km,kg CO2e,0.22058,
318217,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Articulated (>33t),Average laden,miles,kg CO2e,0.35499,
318218,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All artics,Average laden,tonne.km,kg CO2e,0.01823,
318219,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All artics,Average laden,km,kg CO2e,0.21898,
318220,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All artics,Average laden,miles,kg CO2e,0.35241,
318221,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All HGVs,Average laden,tonne.km,kg CO2e,0.02359,
318222,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All HGVs,Average laden,km,kg CO2e,0.21154,
318223,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All HGVs,Average laden,miles,kg CO2e,0.34045,
31830,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),0% Laden,tonne.km,kg CO2e,,
31831,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),0% Laden,km,kg CO2e,0.13155,
31832,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),0% Laden,miles,kg CO2e,0.2117,
31833,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),0% Laden,tonne.km,kg CO2e,,
31834,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),0% Laden,km,kg CO2e,0.15756,
31835,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),0% Laden,miles,kg CO2e,0.25357,
31836,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>17 tonnes),0% Laden,tonne.km,kg CO2e,,
31837,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>17 tonnes),0% Laden,km,kg CO2e,0.21678,
31838,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>17 tonnes),0% Laden,miles,kg CO2e,0.34888,
31839,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All rigids,0% Laden,tonne.km,kg CO2e,,
318310,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All rigids,0% Laden,km,kg CO2e,0.1914,
318311,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All rigids,0% Laden,miles,kg CO2e,0.30803,
318312,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>3.5 - 33t),0% Laden,tonne.km,kg CO2e,,
318313,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>3.5 - 33t),0% Laden,km,kg CO2e,0.17199,
