index,Scope,Level 1,Activity,Waste type,Last level,UOM,GHG/Unit,GHG Conversion Factor
31062,Scope 3,Waste disposal,Plastic,Plastics: average plastic rigid,Incineration with energy recovery,tonnes,kg CO2e,4.68568
31063,Scope 3,Waste disposal,Plastic,Plastics: HDPE (incl. forming),Incineration with energy recovery,tonnes,kg CO2e,4.68568
31064,Scope 3,Waste disposal,Plastic,Plastics: LDPE and LLDPE (incl. forming),Incineration with energy recovery,tonnes,kg CO2e,4.68568
31065,Scope 3,Waste disposal,Plastic,Plastics: PET (incl. forming),Incineration with energy recovery,tonnes,kg CO2e,4.68568
31066,Scope 3,Waste disposal,Plastic,Plastics: PP (incl. forming),Incineration with energy recovery,tonnes,kg CO2e,4.68568
31067,Scope 3,Waste disposal,Plastic,Plastics: PS (incl. forming),Incineration with energy recovery,tonnes,kg CO2e,4.68568
31068,Scope 3,Waste disposal,Plastic,Plastics: PVC (incl. forming),Incineration with energy recovery,tonnes,kg CO2e,4.68568
31060,Scope 3,Waste disposal,Plastic,Plastics: average plastics,Composting,tonnes,kg CO2e,
31061,Scope 3,Waste disposal,Plastic,Plastics: average plastic film,Composting,tonnes,kg CO2e,
31062,Scope 3,Waste disposal,Plastic,Plastics: average plastic rigid,Composting,tonnes,kg CO2e,
31063,Scope 3,Waste disposal,Plastic,Plastics: HDPE (incl. forming),Composting,tonnes,kg CO2e,
31064,Scope 3,Waste disposal,Plastic,Plastics: LDPE and LLDPE (incl. forming),Composting,tonnes,kg CO2e,
31065,Scope 3,Waste disposal,Plastic,Plastics: PET (incl. forming),Composting,tonnes,kg CO2e,
31066,Scope 3,Waste disposal,Plastic,Plastics: PP (incl. forming),Composting,tonnes,kg CO2e,
31067,Scope 3,Waste disposal,Plastic,Plastics: PS (incl. forming),Composting,tonnes,kg CO2e,
31068,Scope 3,Waste disposal,Plastic,Plastics: PVC (incl. forming),Composting,tonnes,kg CO2e,
31060,Scope 3,Waste disposal,Plastic,Plastics: average plastics,Landfill,tonnes,kg CO2e,8.98311
31061,Scope 3,Waste disposal,Plastic,Plastics: average plastic film,Landfill,tonnes,kg CO2e,8.98311
31062,Scope 3,Waste disposal,Plastic,Plastics: average plastic rigid,Landfill,tonnes,kg CO2e,8.98311
31063,Scope 3,Waste disposal,Plastic,Plastics: HDPE (incl. forming),Landfill,tonnes,kg CO2e,8.98311
31064,Scope 3,Waste disposal,Plastic,Plastics: LDPE and LLDPE (incl. forming),Landfill,tonnes,kg CO2e,8.98311
31065,Scope 3,Waste disposal,Plastic,Plastics: PET (incl. forming),Landfill,tonnes,kg CO2e,8.98311
31066,Scope 3,Waste disposal,Plastic,Plastics: PP (incl. forming),Landfill,tonnes,kg CO2e,8.98311
31067,Scope 3,Waste disposal,Plastic,Plastics: PS (incl. forming),Landfill,tonnes,kg CO2e,8.98311
31068,Scope 3,Waste disposal,Plastic,Plastics: PVC (incl. forming),Landfill,tonnes,kg CO2e,8.98311
31060,Scope 3,Waste disposal,Plastic,Plastics: average plastics,Anaerobic digestion,tonnes,kg CO2e,
31061,Scope 3,Waste disposal,Plastic,Plastics: average plastic film,Anaerobic digestion,tonnes,kg CO2e,
31062,Scope 3,Waste disposal,Plastic,Plastics: average plastic rigid,Anaerobic digestion,tonnes,kg CO2e,
31063,Scope 3,Waste disposal,Plastic,Plastics: HDPE (incl. forming),Anaerobic digestion,tonnes,kg CO2e,
31064,Scope 3,Waste disposal,Plastic,Plastics: LDPE and LLDPE (incl. forming),Anaerobic digestion,tonnes,kg CO2e,
31065,Scope 3,Waste disposal,Plastic,Plastics: PET (incl. forming),Anaerobic digestion,tonnes,kg CO2e,
31066,Scope 3,Waste disposal,Plastic,Plastics: PP (incl. forming),Anaerobic digestion,tonnes,kg CO2e,
31067,Scope 3,Waste disposal,Plastic,Plastics: PS (incl. forming),Anaerobic digestion,tonnes,kg CO2e,
31068,Scope 3,Waste disposal,Plastic,Plastics: PVC (incl. forming),Anaerobic digestion,tonnes,kg CO2e,
