index,Scope,Level 1,Activity,Type,Last level,UOM,GHG/Unit,GHG Conversion Factor
3423,Scope 3,UK electricity T&D for EVs,Cars (by size),Medium car,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CH4 per unit,1e-05
3424,Scope 3,UK electricity T&D for EVs,Cars (by size),Large car,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CH4 per unit,1e-05
3425,Scope 3,UK electricity T&D for EVs,Cars (by size),Large car,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CH4 per unit,1e-05
3426,Scope 3,UK electricity T&D for EVs,Cars (by size),Average car,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CH4 per unit,1e-05
3427,Scope 3,UK electricity T&D for EVs,Cars (by size),Average car,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CH4 per unit,1e-05
3420,Scope 3,UK electricity T&D for EVs,Cars (by size),Small car,Plug-in Hybrid Electric Vehicle,km,kg CO2e of N2O per unit,2e-05
3421,Scope 3,UK electricity T&D for EVs,Cars (by size),Small car,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of N2O per unit,3e-05
3422,Scope 3,UK electricity T&D for EVs,Cars (by size),Medium car,Plug-in Hybrid Electric Vehicle,km,kg CO2e of N2O per unit,1e-05
3423,Scope 3,UK electricity T&D for EVs,Cars (by size),Medium car,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of N2O per unit,2e-05
3424,Scope 3,UK electricity T&D for EVs,Cars (by size),Large car,Plug-in Hybrid Electric Vehicle,km,kg CO2e of N2O per unit,1e-05
3425,Scope 3,UK electricity T&D for EVs,Cars (by size),Large car,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of N2O per unit,2e-05
3426,Scope 3,UK electricity T&D for EVs,Cars (by size),Average car,Plug-in Hybrid Electric Vehicle,km,kg CO2e of N2O per unit,1e-05
3427,Scope 3,UK electricity T&D for EVs,Cars (by size),Average car,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of N2O per unit,2e-05
3420,Scope 3,UK electricity T&D for EVs,Cars (by size),Small car,Battery Electric Vehicle,km,kg CO2e,0.00349
3421,Scope 3,UK electricity T&D for EVs,Cars (by size),Small car,Battery Electric Vehicle,miles,kg CO2e,0.00563
3422,Scope 3,UK electricity T&D for EVs,Cars (by size),Medium car,Battery Electric Vehicle,km,kg CO2e,0.00368
3423,Scope 3,UK electricity T&D for EVs,Cars (by size),Medium car,Battery Electric Vehicle,miles,kg CO2e,0.00592
3424,Scope 3,UK electricity T&D for EVs,Cars (by size),Large car,Battery Electric Vehicle,km,kg CO2e,0.00398
3425,Scope 3,UK electricity T&D for EVs,Cars (by size),Large car,Battery Electric Vehicle,miles,kg CO2e,0.00641
